tool,proxy,bucket,signature,all_tags
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: java.lang.String getName()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.TypeVariable: java.lang.String getName()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.ClassValue: java.lang.Object get(java.lang.Class)>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: java.lang.Class getDeclaringClass()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.TypeVariable: java.lang.reflect.Type[] getBounds()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.ParameterizedType: java.lang.reflect.Type getRawType()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.WildcardType: java.lang.reflect.Type[] getLowerBounds()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.WildcardType: java.lang.reflect.Type[] getUpperBounds()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.ParameterizedType: java.lang.reflect.Type getOwnerType()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.GenericArrayType: java.lang.reflect.Type getGenericComponentType()>,reflection
GATOR,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.ParameterizedType: java.lang.reflect.Type[] getActualTypeArguments()>,reflection
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onContentChanged()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onAttachedToWindow()>,callback
